Score,Sentiment,POS,NEG
-0.28205128205128205,負面,"['上升', '支持', '可以', '好', '年增', '成果', '完成', '更多', '佳', '重大', '高', '增', '增長', '獲得']","['下跌', '不利', '分散', '切', '反應', '低', '否認', '沒有', '注意', '空', '表現', '要求', '重大', '限制', '深', '陷入', '減', '減少', '結束', '越', '跌', '跌幅', '跌逾', '領域', '關']"
0.2,正面,"['強', '增', '增強']","['停止', '割']"
-0.3548387096774194,負面,"['支撐', '利多', '重要', '容易', '高', '第一', '買超', '超過', '優於', '穩定']","['不同', '不見', '不會', '不確定', '空', '降', '限制', '恐', '高壓', '排除', '提醒', '減', '超過', '跌', '跌逾', '顯示', '賣超', '壓力', '關', '關卡', '關鍵']"
0.2,正面,"['上漲', '反彈', '支撐', '可以', '巨大', '有助', '重回', '高', '高點', '強', '強勁', '創新', '最大', '買進', '新高', '達到', '預期的', '漲幅', '儘管', '優於', '獲得']","['不同', '不足', '不確定', '反彈', '低', '表現', '深', '跌', '經濟放緩', '顯示', '擔憂', '擺脫', '證實', '關']"
-0.4782608695652174,負面,"['高', '高的', '強', '最大', '最大的', '新高']","['下探', '下跌', '切', '失', '低', '最低', '跌', '跌破', '跌幅', '損失', '新低', '新低點', '顯示', '遭受', '關', '關卡', '競爭']"
0.19047619047619047,正面,"['力量', '可以', '多數', '好', '成功', '更好', '更好的', '佳', '看好', '特別', '能力', '高', '強', '第一', '最後', '進行', '過程', '實在', '增', '增長', '增強', '樂觀', '樂觀其成', '贏得', '驚人']","['反應', '欠佳的', '失', '失敗', '失望', '打擊', '低', '延後', '表現', '表現欠佳', '陷入', '意見', '調查', '遭受', '證實', '關', '關鍵']"
-0.06666666666666667,負面,"['上漲', '支撐', '正面', '好', '有效', '完美', '和解', '明確', '恢復', '能力', '高', '高點', '強', '順利', '解決', '過程', '獎', '獎勵', '儘管', '獲得', '穩定']","['下降', '下降的', '下跌', '引起', '失', '失望', '低', '沒有', '和解', '降', '執行', '最低', '跌', '跌破', '跌勢', '意義', '經歷', '解釋', '劇烈', '壓力', '艱難', '關', '關鍵', '競爭']"
-0.2903225806451613,負面,"['上漲', '支持', '佳', '容易', '高', '高級', '強', '強勁', '推動', '發展', '獲得']","['下跌', '不確定', '低', '走跌', '表明', '降', '限制', '風險', '恐', '割', '最低', '結束', '絕', '跌', '經濟放緩', '顯示', '虧損', '擺脫', '轉向', '關']"
0.0,負面,"['有效', '佳', '看漲', '特性', '高', '創新', '最佳', '增', '增加', '機會', '獲利']","['先前', '有限', '低', '空', '風險', '差', '執行', '跌', '跌幅', '操作', '關']"
-0.33962264150943394,負面,"['上揚', '上漲', '支持', '支撐', '可望', '平穩', '正面', '在上', '好', '助長', '更多', '佳', '保證', '恢復', '高', '高級', '高點', '強', '強勁', '推升', '第一', '提升', '最大', '超過', '進行', '順利', '達成', '預期的', '構成', '增', '增加', '樂觀', '確實', '優於', '獲得']","['下降', '下跌', '下滑', '大跌', '不如', '不如預期', '不足', '不佳', '不會', '不變', '反對', '欠佳的', '失', '失敗', '打擊', '先前', '危機', '向下', '低', '判決', '抑制', '沒有', '事件', '爭議', '空', '表現', '表現不佳', '長期的', '非法', '威脅', '相對', '看淡', '要求', '降', '降低', '面對', '風險', '修正', '差', '差的', '恐', '涉嫌', '衰退', '配置', '停止', '奢侈', '探底', '深', '終止', '雪上加霜', '減', '萎縮', '貶值', '超過', '跌', '跌幅', '意見', '罪', '違法', '對手', '撤', '襲擊', '顯示', '調查', '遭受', '擔憂', '激烈', '壓力', '轉向', '關', '競爭']"
