Score,Sentiment,POS,NEG
-0.48936170212765956,負面,"['使', '取得', '大', '好', '完成', '影響', '收益', '最終', '獲得', '資訊', '進展', '需']","['不利', '低', '使', '公司', '分散', '力', '否認', '大幅', '完成', '將', '對', '弱', '按', '收盤', '會', '有', '有關', '毫無', '沒有', '減少', '為', '無意', '牌', '發現', '短', '稱', '結束', '經濟', '表現', '認為', '談判', '退市', '關閉', '限制', '陷入']"
-0.14285714285714285,負面,"['增強', '強', '強度']","['停止', '持續', '晚', '警報']"
-0.55,負面,"['使', '優於', '大', '容易', '積極', '穩定', '第一', '超過', '需']","['不確定性', '使', '到期', '力', '即將', '壓力', '容易', '寬鬆', '將', '對', '延長', '弱', '恐慌', '排除', '提醒', '會', '有', '為', '然而', '確定', '穩定', '經驗', '臨時', '認為', '談判', '造成', '關注', '關鍵', '限制', '難', '需要']"
-0.16279069767441862,負面,"['上漲', '價格上漲', '儘管', '優於', '創新', '印象', '反彈', '受益', '大', '巨大', '強', '影響', '最大', '最高', '深刻', '獲得', '達到', '需']","['不確定性', '不足', '低', '低估', '力', '受到', '回跌', '實施', '將', '對', '小', '懷疑', '放緩', '會', '有', '為', '短', '確定', '禁令', '經濟', '表現', '認為', '說', '證實', '難']"
-0.47368421052631576,負面,"['大', '強', '最大', '最高', '需']","['之後', '低', '低迷', '將', '小', '損', '損失', '有', '為', '競爭', '認為', '遭受', '重新', '需要']"
-0.38095238095238093,負面,"['增強', '大', '好', '強', '成功', '接受', '更好', '最終', '樂觀', '熱情', '第一', '能力', '贏得']","['之後', '低', '公司', '力', '失敗', '失望', '將', '對', '小', '成交量', '接受', '會', '有', '波動', '為', '燒', '牌', '發現', '耗盡', '聲譽', '表現', '認為', '說', '調查', '證實', '遭受', '關鍵', '陷入', '驚人']"
-0.41379310344827586,負面,"['上漲', '使', '儘管', '大', '好', '完美', '強', '恢復', '最好', '有效', '獎勵', '獲得', '穩定', '能力', '解決', '需', '順利']","['下降', '低', '使', '公司', '公平', '力', '加劇', '圍', '壓力', '失望', '將', '對', '平倉', '引起', '持續', '損', '暴跌', '會', '有', '沒有', '波動', '波動性', '混亂', '為', '無利可圖', '無法', '然而', '猛烈', '稱', '穩定', '競爭', '範圍', '糟', '複雜', '解決', '記得', '認為', '說', '謹慎', '關鍵', '難']"
-0.42857142857142855,負面,"['上漲', '使', '大', '容易', '強', '推動', '獲得', '進展', '需', '高級']","['不確定性', '企業', '低', '使', '制裁', '容易', '對', '持續', '損', '放緩', '有', '為', '確定', '稱', '結束', '經濟', '緊張', '缺乏', '虧損', '解除', '認為', '說', '退市', '限制', '風險']"
-0.2631578947368421,負面,"['創新', '大', '有效', '機會', '獨家', '獲利', '需']","['低', '將', '小', '差', '操作', '會', '有', '流動性', '為', '看跌', '結果', '風險']"
-0.5495495495495496,負面,"['上揚', '上漲', '使', '保證', '優於', '友好', '受益', '大', '好', '強', '影響', '恢復', '收益', '最大', '最高', '樂觀', '獲得', '第一', '致意', '贖回', '超過', '進展', '需', '順利', '高級']","['下降', '不佳', '不足', '中止', '事件', '企業', '低', '使', '保證', '倒閉', '停止', '公司', '判決', '判處', '到期', '制裁', '力', '升級', '危機', '即將', '友好', '反對', '受到', '合理', '向下', '回跌', '報復', '壓力', '失敗', '威脅', '安全', '實施', '寬鬆', '將', '對', '對手', '差', '必須', '抑制', '按', '會', '有', '有罪', '構成', '歡迎', '沒有', '波動', '激烈', '為', '然而', '爭端', '爭議', '短', '破產', '競爭', '終止', '經濟', '經濟衰退', '罪', '表現', '衰退', '襲擊', '規則', '認為', '說', '調查', '談判', '譴責', '貶值', '貼', '贖', '贖回', '逆差', '造成', '違法', '違約', '遭受', '長期', '防止', '降低', '難', '需要', '非法', '面對', '面臨', '風險']"
