Positive,Negative
上揚,一文不值
上漲,一種
主動,下放
了結,下降
享受,不一致
享有,不佳
使,不便
保證,不公
值得,不公平
偉大,不切實際
價格上漲,不利
儘管,不及
償還,不可
優勢,不可避免
優於,不善
充分,不夠
免費,不妥
利益,不安
創意,不宜
創新,不幸
創造力,不惜
創造性,不慎
加強,不敷
努力,不景氣
區別,不法
卓越,不滿
印象,不當
友好,不確定性
反彈,不符
取得,不能
受惠,不良
受益,不足
可取,不適
可靠,不願
可靠性,中斷
合作,中止
吸引力,之後
啟用,乾旱
喜悅,了結
喜歡,事件
圓滿,事故
地位,交給
報酬,人工
增強,令人不安
夢想,企業
大,伺服器
大大,低
好,低估
好轉,低迷
安定,佔領
完全,作證
完善,佣金
完成,使
完整性,供過於求
完美,侵權
容易,侵犯
實現,侵蝕
寶貴,保證
尊重,保釋
履行,保險
巨大,信念
平滑,修復
幸福,修訂
建設性,倒塌
強,倒閉
強度,偏差
影響,偏離
得天獨厚,做假
忠誠,停工
快樂,停機
恢復,停止
恭維,停滯
愉快,停滯不前
慈善,停牌
成功,停電
成就,停頓
成績,健全
承兌,偷
授權,偽造
接受,傳票
推動,傳遞
推進,傷害
提高,僵局
擅長,償付
支援,允許
收益,充
改進,克服
放心,免責
放款,免除
效率,入侵
普及,公司
更好,公平
最大,公正
最好,公開
最終,凍結
最高,分拆
有利,分散
有利可圖,分歧
有利於,分配
有效,切斷
有效性,刑事
有益,判決
棒,判處
榮譽,利用
樂觀,到期
模範,制裁
機會,削弱
歷次,削減
活力,剔除
流行,剝奪
深刻,創傷
清償,力
滿意,功能
滿足,加劇
熱情,加重
特殊,動盪
獎勵,勾結
獎金,匹配
獨家,區分
獨特,升級
獲利,危及
獲得,危害
理想,危機
異常,危險
發明,即將
盈利,參數
確保,友好
積極,反壟斷
穩健性,反對
穩定,反常
突破,反托拉斯
第一,反抗
精通,取代
素養,取消
繁榮,受傷
美食,受到
美麗,受害者
聯盟,受損
聲望,叛亂
能力,古怪
能夠,召回
自信,可靠
致意,合理
興奮,合理化
著名,吐出
蓬勃發展,向下
解決,否定
註定,否決
誠信,否認
豐富,吸引力
資訊,售出
賦予,商號
贏家,問題
贏得,喪失
贖回,嘲笑
超越,嚴厲
超過,嚴格
透明度,嚴重
進展,嚴重性
進步,回扣
達到,回溯
難以置信,回跌
需,回顧
青睞,困惑
革命,困擾
革命性,困難
革新,圍
順利,堅持
領先,報復
領導,壓力
驚喜,壞
高級,壟斷
高興,大幅
鼓勵,失去
鼓舞人心,失控
增持多單,失效
增加多單,失敗
加碼多單,失望
回補多單,失業
增多單,失真
加持多單,失衡
多單增持,失誤
多單增加,失調
多單加碼,失責
多單敲進,失蹤
多單大增,失靈
多單飆升,妨礙
多單增,威脅
多單增至,孩子
多單增加為,安全
多單微增,完全
多單增量,完成
多單增逾,完整
賣賣權,定局
賣出賣權,定罪
賣權賣,宰
買買權,容忍
買進買權,容易
敲進買權,實施
買權買,實現
買權買進,實行
買權增加,審查
減碼空單,審議
減持空單,寬容
空單減碼,寬鬆
空單減少,封存
空單大減,射擊
空單減到,將
,專利
,專利權
,對
,對手
,對抗
,對策
,小
,小姐
,尷尬
,履行
,崩潰
,差
,差異
,差距
,差錯
,差額
,干擾
,平倉
,幼稚
,廉價
,廢棄
,廢止
,廢除
,延期
,延誤
,延遲
,延長
,引起
,弱
,弱勢
,弱點
,強制
,強調
,強迫
,彌補
,待定
,後果
,徵用
,徹底
,必然
,必要
,必須
,忠
,忽略
,忽視
,急劇
,恐嚇
,恐慌
,恐懼
,悲劇
,惡化
,惡意
,惹惱
,意外
,慘澹
,慢
,慢慢
,應力
,應變
,懲罰
,懷疑
,成交量
,成問題
,打斷
,打破
,扣押
,扣除額
,扭曲
,批評
,承認
,抑制
,抓住
,投訴
,抗議
,折疊
,披露
,抱怨
,抵制
,抵押
,抹黑
,拆除
,拒絕
,拖延
,拘留
,拯救
,持續
,指控
,指責
,按
,挑戰
,挑起
,挑釁
,挪用
,挫折
,挫敗
,捍衛
,排除
,接受
,推翻
,推遲
,掩蓋
,提醒
,揭示
,損
,損傷
,損壞
,損失
,損害
,損害賠償
,搶先
,摧毀
,摻雜
,撤回
,撤資
,撤銷
,擅自
,擊敗
,操作
,操控
,操縱
,擔保
,擔心
,據稱
,擴展
,擾亂
,攤薄
,收回
,收尾
,收市
,收盤
,收緊
,收縮
,收費
,改組
,攻擊
,放棄
,放緩
,故意
,故障
,效率
,敗訴
,散亂
,敵對
,敵意
,斷言
,昂貴
,明知
,晚
,普遍
,普遍性
,暫停
,暴力
,暴跌
,暴露
,曲折
,曲解
,更正
,最壞
,會
,有
,有害
,有損
,有罪
,有誤
,有關
,未經
,查詢
,校正
,棄權
,業績
,構成
,標籤
,橋
,欺詐
,欺騙
,歡迎
,正當
,死亡
,死胡同
,毀滅性
,毫無
,污染
,污點
,沉澱
,沒收
,沒有
,沖銷
,沮喪
,波動
,波動性
,波幅
,洗錢
,活動
,流動性
,浪費
,消失
,消極
,消耗
,淫穢
,混亂
,混淆
,清倉
,清償
,清理
,清算
,減價
,減少
,減損
,減產
,減記
,準確
,溢出
,溶解
,滅
,滯後
,滿意
,漏報
,漏洞
,激烈
,濫
,濫用
,災難
,為
,無利可圖
,無序
,無意
,無效
,無條件
,無法
,無知
,無罪
,無視
,然而
,煩惱
,燒
,爭奪
,爭端
,爭論
,爭議
,牌
,牽連
,犧牲
,犯罪
,猛烈
,猶豫不決
,瓶頸
,生氣
,申訴
,異化
,異常
,異議
,當事人
,疏忽
,痛苦
,發射
,發現
,盜用
,目的
,相反
,相容
,相形見絀
,看似
,看跌
,矛盾
,知道
,短
,短缺
,破壞
,破壞性
,破產
,碰撞
,確定
,示威者
,禁令
,禁止
,禁用
,禁運
,秘密
,稱
,穩定
,空轉
,突擊
,突然
,站不住
,競爭
,競爭力
,符
,符合
,範圍
,糟
,糾正
,糾紛
,紀律
,終止
,結束
,結果
,經濟
,經濟衰退
,經驗
,緊張
,緊急
,緊縮
,編輯
,緩慢
,縮小
,縮減
,縱容
,繞過
,缺乏
,缺失
,缺陷
,缺點
,罪
,罪犯
,罪責
,罰款
,罰金
,耗盡
,聲明
,聲稱
,聲譽
,脅迫
,脆弱
,脆弱性
,腐敗
,臨時
,自然災害
,至關重要
,致命
,舞弊
,荒謬
,蓄意
,蕭條
,蘇
,處罰
,虛偽
,虛報
,虛擬
,虧損
,行不通
,衝突
,表現
,衰退
,被告
,被捕
,被迫
,裁員
,複雜
,複雜化
,襲擊
,要脅
,覆蓋
,規則
,規避
,解僱
,解散
,解決
,解除
,解雇
,觸犯
,討厭
,記得
,訪問
,訴狀
,訴訟
,註銷
,詆毀
,詐騙
,評估
,詢價
,詢問
,誇大
,誇張
,認為
,誤
,誤傳
,誤判
,誤導
,誤導性
,誤差
,誤解
,說
,調動
,調和
,調整
,調查
,調解
,談判
,請求
,論點
,謹慎
,證實
,警告
,警報
,警示
,議論
,譴責
,變現
,負擔
,負責
,負面
,財產
,貪污
,責令
,責成
,貶低
,貶值
,貼
,賄賂
,資力
,資格
,資金不足
,賠償
,質疑
,贖
,贖回
,赤字
,起草
,起訴
,起訴書
,超標
,超越
,超額
,躺
,轉移
,辭職
,農場
,迫使
,退位
,退出
,退市
,退款
,退稅
,逃之夭夭
,逃犯
,逆境
,逆差
,造假
,造成
,逮捕
,逾期
,過低
,過分
,過剩
,過多
,過失
,過度
,過早
,過時
,過熱
,過重
,過高
,違反
,違法
,違約
,違背
,違規
,適合
,遭受
,遺漏
,邊界
,醜聞
,重新
,重申
,重組
,鈍化
,錯
,錯事
,錯位
,錯誤
,錯過
,錯配
,鎖定
,鎖死
,長期
,開發
,開除
,閒置
,間歇
,關口
,關注
,關鍵
,關閉
,防偽
,防止
,防禦
,阻止
,阻礙
,降低
,降價
,降級
,限制
,限於
,除名
,除牌
,陰謀
,陳舊
,陷入
,陷入僵局
,障礙
,障礙物
,隱瞞
,隱藏
,隸屬
,離婚
,難
,難免
,需要
,震驚
,非法
,面對
,面臨
,預見
,預設
,預防
,風險
,駁回
,騷擾
,驚人
,體現
,高估
,高利貸
,高產
,魯莽
,麻煩
,減碼多單
,縮減多單
,大減多單
,減多單
,減持多單
,調節多單
,撤出多單
,多單減少
,多單減碼
,多單縮減
,多單大減
,多單減
,多單減至
,多單買回
,多單稍減
,多單減為
,多單降至
,多單持減
,多單下降
,買進賣權
,買賣權
,賣權買
,賣權布局
,賣出買權
,賣買權
,買權賣
,加碼空單
,增加空單
,增持空單
,回補空單
,佈局空單
,空單加碼
,空單增加
,空單增持
,空單攀升
,空單大增
,空單回補
