Positive,Negative
NO.1,人心惶惶
一枝獨秀,下降
一流,下降的
力挺,下修
力量,下探
十分,下跌
上升,下跌的
上攻,下滑
上看,大砍
上修,大降
上揚,大跌
上漲,干擾
大放異彩,不公開
大幅成長,不太好
大增,不支
大賣,不支付
大豐收,不方便
才能,不平
不錯,不平衡
不錯的,不合
允許,不合理
反彈,不同
引進,不在
引導,不好
支持,不如
支撐,不如預期
方便,不安
止跌回升,不利
付諸實施,不利的
令人滿意,不良
充分,不見
充裕,不足
加強,不足的
可以,不佳
可望,不法
巨大,不知
平易,不知道
平穩,不便
正面,不要
正確,不准
用心,不振
由黑翻紅,不能
由賣轉買,不夠
示範,不捧場
先例,不理
先進,不符合
合作,不景氣
名人,不等
在上,不會
多數,不當
多頭,不實
多頭格局,不對
好,不滿
好成績,不樂見
好時機,不確定
好消息,不斷的
好評,不穩
好轉,不願
年增,不願意
成功,不變
成果,分散
成長,分離
成長動能,切
成就,升高
成績,反對
有利,反彈
有助,反應
有把握,少量
有效,引起
有效帶動,欠佳的
有效率,歹戲拖棚
有能力,代價
有價值,加強
有影響,包圍
佔領,占有
免費,召開
利用,失
利多,失去
利益,失守
助長,失敗
完全,失望
完成,失業
完美,失誤
完善的,失蹤
快速成長,失靈
技能,必然的
改革,打破
改善,打擊
更多,未實現
更好,犯
更好的,犯罪
狂飆,由紅翻黑
良好,目的
走高,目標
享有,先前
享受,危機
佳,向下
佳績,回收
例外,尖
供不應求,成本上揚
刷新,扣除
刺激,收回
卓越,收場
卓越的,曲折
受惠,有限
和解,有問題
幸福,有意
旺季,死
明白,死亡
明確,污染
股王,低
肯定,低潮
金獎,免費
亮眼,判決
亮眼表現,利用
亮麗,利空
便利,利潤下滑
促進,刪除
保證,否認
信賴,困擾
前茅,困難
前進,扮演
威信,批評
很多,抑制
很好,抗議
恢復,沒有
持續成長,沒有成長
指導,系統故障
看好,走低
看漲,走弱
突出的,走跌
突破,辛苦
紅盤,辛苦的
重大,事件
重回,事故
重要,例外
重要的,供過於求
革新,刺激
倍增,取代
值得,取消
娛樂,受到衝擊
容易,受害
效益,受挫
效能,受累
效率,受累於
殊榮,命令
特別,命運
特別的,和解
特性,坦承
站台,延後
能力,延緩
能的,延遲
能夠,忽略
貢獻,抵銷
貢獻獲利,拒絕
送暖,拖累
逆勢成長,放棄
逆勢走高,注意
高,爭議
高成長,空
高的,空間
高品質,空頭
高度肯定,糾紛
高峰,表明
高級,表現
高興,表現不佳
高點,表現欠佳
帶來,表現較差
強,金融海嘯
強化,長期的
強勁,阻止
強健,非法
強勢,侵犯
得到,侵害
推升,侵蝕
推動,保守
理想,保留
符合,保留意見
第一,保衛
第一名,削減
許可,前述
透明,勉強
頂級,威脅
創造,客觀
創意,後果
創新,挑戰
善用,故障
善意,相對
喜悅,看淡
報酬,突然
富的,突然發生
復原,致歉
提升,要求
提高,負債
景氣回升,負擔
最大,迫切
最大的,重大
最夯,重要的
最有價值,重挫
最佳,重罰
最初的,重壓
最後,重點
最優,降
發展,降低
發揚光大,降評
結盟,降評等
菁英,降價
著名,限制
買超,面對
買進,面臨挑戰
買盤,風險
超出,修正
超越,容許
超過,差
進行,差的
進步,弱的
開高,弱勢
開高走高,恐
順利,消除
慈善,消極
新高,涉及
新高點,涉嫌
新進展,疲弱
業績,疲弱不振
楷模,缺貨
當然,缺點
經過,衰退
解決,起訴
誠信,追問
跳升,退位
過程,逆境
達成,逆轉
達到,配置
預付,除去
預定,除名
預期的,高壓
奪得,假的
實在,偏弱
實現,停工
暢旺,停止
榮獲,停滯
榮譽,偽造
構成,動盪
滿足,問題
滿意,執行
漲停,堅信
漲幅,堅持
需求旺盛,奢侈
領先,強制
領導,從事
領導能力,捲入
領頭,排除
價量齊揚,探底
增,控告
增加,控制
增長,推翻
增強,敗訴
樂觀,欲振乏力
樂觀其成,淡季
樂觀的,深
標竿,深入
熱烈,清理
熱烈反應,牽連
熱銷,瓶頸
獎,異常
獎勵,終止
確實,脫去
衝上,處分
適當,處罰
儘管,被告
擁有,被迫
擔保,造假
樹立,陷入
機會,雪上加霜
激勵,割
獨特,提醒
獨霸,最低
積極的,最低價
龍頭,最差
優秀,最壞
優秀的,最壞的
優良,減
優於,減少
優異,減產
優勢,減損
幫助,減碼
獲利,無一倖免
獲利成長,無力
獲得,無法達成
獲勝,無效
聯盟,痛失
聲望,發表
賺錢的,短缺
蟬聯,短暫
豐富,窘境
豐富的,結局
轉正,結束
轉虧為盈,絕
穩固,絕對
穩定,萎縮
穩定成長,裁決
穩定度,裁定
贏得,訴訟
續創新高,詐欺
護航,評論
飆漲,貶值
歡呼,費用
顯著,超過
驚人,越
驚人的,跌
驚豔,跌破
增持多單,跌停
增加多單,跌幅
加碼多單,跌勢
回補多單,跌逾
增多單,跌逾二成
加持多單,辜負
多單增持,逮捕
多單增加,開低走低
多單加碼,開拓
多單敲進,開發
多單大增,傷及
多單飆升,傷害
多單增,勢力
多單增至,幹
多單增加為,意外
多單微增,意見
多單增量,意義
多單增逾,損失
賣賣權,新低
賣出賣權,新低價
賣權賣,新低點
買買權,極度
買進買權,滑落
敲進買權,禁止
買權買,經過
買權買進,經歷
買權增加,經濟放緩
減碼空單,罪
減持空單,落空
空單減碼,落後
空單減少,補償
空單大減,解釋
空單減到,詢問
,跳空
,跳空跌停
,過大的
,過去的
,過失
,過度
,過剩
,違反
,違法
,違規
,預告
,對手
,對抗
,對策
,慘跌
,慢
,摜壓
,撤
,撤銷
,滲透
,議論
,犧牲
,露出
,襲擊
,顯示
,驚人的
,疑慮
,監督
,緊急
,罰
,罰金
,罰款
,罰鍰
,舞弊
,蓄意
,認定
,誤
,誤解
,誤導
,領先
,領域
,駁斥
,駁回
,劇烈
,審查
,廢棄
,暫停
,緩慢
,罷工
,衝擊
,調查
,調降
,調整
,賠償
,賣超
,賣壓
,質疑
,適當
,遭受
,遭殃
,震驚
,擁有
,操作
,操縱
,擔心
,擔憂
,整理
,激烈
,獨占
,賴
,遲
,遺憾
,錯
,錯過
,錯誤
,壓力
,壓低
,壓縮
,獲利衰退
,縮小
,縮減
,縮短
,聲稱
,艱難
,虧損
,避開
,隱藏
,點火
,擺脫
,擾亂
,轉向
,轉移
,轉換
,轉讓
,鎖死
,離開
,離職
,壞的
,曝光
,證明
,證實
,辭職
,關
,關卡
,關鍵
,難題
,嚴正
,嚴重
,嚴重打擊
,嚴峻
,嚴峻的
,嚴格
,競爭
,競爭力下滑
,警告
,警覺
,減碼多單
,縮減多單
,大減多單
,減多單
,減持多單
,調節多單
,撤出多單
,多單減少
,多單減碼
,多單縮減
,多單大減
,多單減
,多單減至
,多單買回
,多單稍減
,多單減為
,多單降至
,多單持減
,多單下降
,買進賣權
,買賣權
,賣權買
,賣權布局
,賣出買權
,賣買權
,買權賣
,加碼空單
,增加空單
,增持空單
,回補空單
,佈局空單
,空單加碼
,空單增加
,空單增持
,空單攀升
,空單大增
,空單回補
